Path,Attribute,Type,Required,Size,Pattern,Example,Description
"DGDeclaration / containerPackingCertificate","containerPackingCertificate","ContainerPackingCertificate",,,,,"""I hereby declare that the goods described above have been packed/loaded into the container/vehicle identified above in accordance with the applicable provisions"". MUST BE COMPLETED AND SIGNED FOR ALL CONTAINER/VEHICLE LOADS BY PERSON RESPONSIBLE FOR PACKING/LOADING"
"DGDeclaration / containerPackingCertificate / companyName",companyName,string,,maxLength=100,,"ABC Warehouse","Name of the company responsible for packing/loading the container or vehicle."
"DGDeclaration / containerPackingCertificate / declarantName",declarantName,string,,maxLength=100,,"John Loader","Name of the person responsible for the packing/loading declaration."
"DGDeclaration / containerPackingCertificate / declarantStatus",declarantStatus,string,,maxLength=100,,"Warehouse Supervisor","Role/status of the person signing the container/vehicle packing certificate."
"DGDeclaration / containerPackingCertificate / declarationDate",declarationDate,"string(date)",,,,2025-01-23,"Date when the container/vehicle packing certificate was signed."
"DGDeclaration / containerPackingCertificate / declarationPlace",declarationPlace,Address,,,,,"Place where the packing/loading declaration was made."
"DGDeclaration / containerPackingCertificate / declarationPlace / addressLines",addressLines,"string list",,"maxItems=5
maxLength=250",,,"Unstructured address lines, used as a fallback when structured address fields are unavailable.
Item description:
One line of an unstructured `Address`."
"DGDeclaration / containerPackingCertificate / declarationPlace / city",city,string,,maxLength=35,,Amsterdam,"The name of the city."
"DGDeclaration / containerPackingCertificate / declarationPlace / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)"
"DGDeclaration / containerPackingCertificate / declarationPlace / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number."
"DGDeclaration / containerPackingCertificate / declarationPlace / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered."
"DGDeclaration / containerPackingCertificate / declarationPlace / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address."
"DGDeclaration / containerPackingCertificate / declarationPlace / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region."
"DGDeclaration / containerPackingCertificate / declarationPlace / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street."
